Job 0, 19, 3
0, mul, C, C, 12
3, add, C, A, 10
4, add, A, D, 6
5, div, D, D, 11
6, sub, A, D, 13
7, add, A, D, 6
8, sto, A, A, 5
9, sub, C, C, 9
10, add, A, B, 10
11, add, D, B, 13
12, add, D, A, 10
13, mul, B, C, 5
14, sub, B, C, 14
15, sub, C, A, 9
16, add, C, A, 8
17, add, C, C, 8
18, add, B, A, 10
19, mul, D, A, 14
20, div, B, D, 9
21, rcl, A, B, 13
22, div, D, B, 8
23, sto, B, D, 14
24, mul, D, A, 7
25, sub, B, C, 9
26, mul, C, B, 7
27, sub, B, B, 12
Job 11, 15, 10
0, sub, B, A, 5
1, mul, D, A, 9
2, add, B, B, 6
3, sub, A, D, 8
4, sub, D, D, 12
5, rcl, B, C, 6
6, mul, D, C, 6
7, nul, A, D, 5
8, sub, C, B, 11
9, nul, C, C, 10
10, add, C, D, 7
11, sub, C, A, 5
12, sub, A, D, 8
13, rcl, B, B, 8
14, sub, B, D, 7
Job 12, 21, 4
0, add, C, A, 14
1, sub, C, D, 13
2, div, A, A, 14
3, add, C, B, 14
4, mul, D, B, 7
5, sto, D, A, 6
6, div, A, D, 8
7, div, C, B, 6
8, sub, A, C, 8
9, rcl, D, A, 14
10, mul, C, D, 11
11, mul, D, B, 12
12, rcl, B, C, 8
13, mul, D, A, 9
14, mul, D, C, 14
15, div, D, C, 12
16, add, A, A, 14
17, mul, D, B, 7
18, sto, B, B, 10
19, add, B, B, 5
20, mul, B, D, 8
Job 13, 11, 5
0, sub, B, A, 13
1, sto, A, A, 10
2, mul, C, B, 8
3, mul, D, A, 13
4, mul, B, B, 6
5, add, B, A, 13
6, nul, D, A, 12
7, sto, B, A, 7
8, div, A, A, 7
9, add, A, A, 8
10, add, B, A, 7
Job 14, 22, 8
0, mul, A, B, 7
1, nul, A, D, 12
2, add, C, D, 14
3, mul, C, C, 9
4, mul, D, B, 7
5, sto, A, C, 11
6, add, C, B, 7
7, add, A, C, 8
8, mul, D, D, 6
9, add, D, A, 14
10, mul, B, B, 13
11, add, C, A, 7
12, rcl, A, A, 5
13, mul, A, B, 5
14, mul, A, A, 5
15, mul, C, B, 11
16, rcl, A, A, 13
17, sub, C, B, 9
18, add, B, A, 9
19, add, B, D, 7
20, sto, B, B, 12
21, nul, B, D, 5
Job 15, 20, 4
0, sto, A, B, 9
1, add, D, D, 5
2, rcl, D, C, 9
3, nul, C, A, 8
4, add, D, B, 10
5, mul, A, C, 14
6, sto, B, C, 12
7, mul, A, B, 8
8, sto, B, D, 7
9, mul, C, C, 7
10, add, C, D, 13
11, sto, D, D, 10
12, add, D, A, 12
13, add, D, B, 11
14, mul, D, C, 13
15, mul, C, B, 14
16, sub, D, C, 5
17, mul, C, A, 6
18, rcl, D, A, 6
19, sto, D, B, 10
Job 16, 25, 9
0, div, C, B, 7
1, div, A, C, 13
2, rcl, C, B, 14
3, div, B, B, 7
4, rcl, D, D, 11
5, nul, B, C, 6
6, add, B, A, 12
7, div, B, B, 6
8, sub, A, D, 8
9, sub, A, C, 12
10, nul, C, B, 13
11, nul, C, B, 9
12, mul, C, C, 12
13, sub, A, D, 13
14, nul, B, B, 10
15, sto, B, D, 9
16, rcl, B, B, 5
17, sub, A, C, 10
18, div, B, C, 9
19, add, D, A, 8
20, rcl, C, A, 11
21, div, C, A, 5
22, add, B, A, 11
23, sto, C, A, 10
24, rcl, D, B, 10
Job 17, 23, 4
0, sub, D, A, 5
1, sto, B, D, 10
2, rcl, B, D, 5
3, add, B, B, 9
4, sub, C, A, 8
5, mul, B, C, 7
6, add, D, C, 14
7, sub, B, D, 6
8, mul, D, C, 12
9, mul, B, D, 8
10, add, A, C, 14
11, mul, C, A, 11
12, rcl, A, C, 8
13, div, C, B, 6
14, add, A, D, 7
15, add, A, C, 10
16, mul, B, D, 14
17, add, C, A, 5
18, mul, B, C, 9
19, div, C, B, 12
20, mul, C, A, 6
21, add, B, B, 12
22, sub, A, A, 7
Job 18, 20, 5
0, sub, D, C, 8
1, mul, D, B, 6
2, nul, B, A, 9
3, mul, D, B, 14
4, mul, A, D, 7
5, rcl, A, B, 11
6, mul, B, C, 9
7, add, D, D, 7
8, mul, C, A, 14
9, add, C, C, 5
10, nul, C, A, 11
11, mul, B, B, 8
12, add, B, C, 7
13, sto, A, B, 11
14, add, B, B, 12
15, sub, C, C, 7
16, sub, D, D, 9
17, sub, A, C, 11
18, mul, D, A, 6
19, add, A, C, 13
Job 19, 15, 10
0, sto, D, C, 14
1, add, D, D, 13
2, sto, A, B, 6
3, sub, D, D, 5
4, mul, A, A, 5
5, mul, B, C, 5
6, add, A, A, 13
7, div, A, D, 11
8, rcl, C, B, 14
9, add, B, A, 11
10, add, C, B, 9
11, rcl, A, A, 11
12, sto, D, D, 14
13, mul, D, C, 9
14, div, A, C, 12
Job 20, 16, 3
0, mul, A, D, 11
1, add, D, D, 8
2, rcl, A, A, 13
3, nul, D, B, 9
4, mul, D, B, 12
5, add, C, C, 8
6, mul, B, B, 8
7, add, A, D, 5
8, add, C, C, 6
9, sub, A, D, 10
10, sto, A, C, 10
11, add, A, C, 13
12, rcl, D, D, 7
13, mul, D, C, 8
14, sub, D, A, 10
15, add, D, A, 14
Job 21, 28, 3
0, add, B, B, 9
1, add, D, A, 10
2, add, C, B, 14
3, mul, C, B, 7
4, rcl, B, A, 5
5, mul, B, B, 14
6, mul, A, A, 6
7, sub, A, A, 12
8, mul, A, C, 11
9, mul, A, C, 5
10, add, A, B, 14
11, mul, A, D, 10
12, add, C, B, 8
13, nul, B, B, 9
14, mul, B, B, 5
15, add, D, B, 6
16, mul, B, C, 5
17, add, B, D, 14
18, mul, D, B, 12
19, nul, B, C, 13
20, div, C, B, 8
21, sub, B, B, 6
22, mul, D, C, 14
23, mul, D, A, 5
24, add, C, D, 9
25, rcl, D, D, 6
26, sub, D, B, 11
27, div, A, C, 5
Job 22, 17, 1
0, sub, C, C, 14
1, sub, D, A, 9
2, add, A, B, 14
3, mul, A, D, 8
4, mul, D, C, 11
5, mul, C, A, 14
6, sto, C, A, 6
7, rcl, D, D, 6
8, nul, C, C, 6
9, sub, B, B, 9
10, add, B, D, 11
11, add, A, A, 10
12, sub, B, D, 10
13, add, B, A, 13
14, sub, C, B, 5
15, add, B, D, 13
16, sub, A, D, 10
Job 23, 26, 4
0, add, B, C, 13
1, add, B, B, 14
2, add, B, C, 6
3, div, D, B, 14
4, sub, C, D, 14
5, mul, C, A, 5
6, mul, D, D, 14
7, mul, C, C, 13
8, sub, A, C, 9
9, sto, D, A, 10
10, mul, D, B, 14
11, add, A, D, 5
12, mul, A, D, 9
13, mul, D, C, 7
14, nul, B, D, 11
15, rcl, D, A, 5
16, mul, C, B, 8
17, add, B, D, 10
18, mul, B, B, 6
19, add, C, C, 14
20, add, A, D, 8
21, div, D, A, 9
22, mul, D, C, 9
23, rcl, C, A, 13
24, mul, D, A, 8
25, add, C, D, 13
Job 24, 24, 7
0, rcl, D, C, 13
1, sub, B, C, 13
2, sub, D, D, 14
3, sto, A, B, 8
4, add, B, C, 10
5, add, C, A, 13
6, mul, C, B, 6
7, sto, A, B, 5
8, rcl, C, C, 5
9, add, C, C, 11
10, mul, C, A, 6
11, div, A, A, 8
12, nul, C, A, 6
13, nul, A, D, 11
14, add, A, B, 6
15, rcl, B, A, 6
16, add, D, B, 11
17, add, B, C, 9
18, mul, B, C, 5
19, add, A, B, 6
20, sub, B, C, 12
21, rcl, D, C, 8
22, nul, B, A, 8
23, sub, C, B, 12
Job 25, 11, 2
0, add, A, C, 9
1, mul, C, C, 14
2, sub, C, D, 5
3, rcl, B, D, 14
4, sub, A, B, 12
5, mul, C, B, 6
6, add, D, D, 10
7, nul, B, B, 6
8, sub, C, A, 9
9, add, D, B, 12
10, mul, D, A, 14
Job 26, 12, 7
0, add, C, C, 5
1, nul, A, D, 14
2, nul, C, A, 8
3, div, B, D, 12
4, sub, D, D, 11
5, add, B, C, 12
6, add, D, A, 11
7, add, B, D, 8
8, add, B, B, 14
9, rcl, A, B, 5
10, rcl, D, B, 14
11, add, D, D, 10
Job 27, 13, 2
0, sub, D, D, 14
1, sub, B, B, 12
2, sto, A, D, 11
3, mul, C, D, 12
4, sub, A, A, 9
5, mul, A, A, 13
6, sub, B, D, 7
7, nul, A, D, 5
8, sub, B, A, 8
9, sub, D, B, 11
10, sto, D, D, 12
11, mul, B, C, 5
12, sto, B, D, 10
Job 28, 25, 10
0, mul, B, D, 8
1, rcl, C, C, 6
2, add, D, D, 9
3, mul, C, A, 5
4, sub, A, A, 14
5, add, D, B, 14
6, sto, C, B, 10
7, sub, D, B, 12
8, mul, A, A, 9
9, sub, B, B, 6
10, mul, A, C, 6
11, nul, C, D, 7
12, add, C, C, 6
13, div, D, B, 11
14, add, C, D, 8
15, mul, B, C, 5
16, mul, C, B, 6
17, sub, D, A, 14
18, sub, C, A, 7
19, nul, D, B, 6
20, sub, C, B, 7
21, div, C, C, 10
22, rcl, D, D, 10
23, div, A, D, 13
24, rcl, C, C, 7
Job 29, 25, 2
0, nul, B, C, 12
1, sto, A, D, 5
2, mul, C, B, 12
3, sto, D, C, 11
4, mul, B, A, 13
5, rcl, B, D, 7
6, rcl, D, B, 6
7, nul, A, B, 6
8, sub, D, A, 11
9, add, C, B, 10
10, add, C, A, 14
11, rcl, C, B, 7
12, sub, A, C, 13
13, sub, B, C, 11
14, mul, C, A, 6
15, mul, D, D, 5
16, sto, C, D, 14
17, mul, D, A, 12
18, mul, C, B, 12
19, nul, C, D, 11
20, nul, B, D, 11
21, mul, A, C, 5
22, add, B, A, 11
23, add, B, A, 7
24, add, D, B, 11
Job 30, 16, 3
0, sub, D, A, 8
1, sub, A, D, 12
2, mul, B, A, 9
3, div, B, C, 12
4, mul, A, A, 8
5, mul, D, C, 14
6, div, A, B, 13
7, rcl, A, C, 7
8, mul, A, A, 7
9, add, A, D, 7
10, mul, B, B, 10
11, mul, D, D, 5
12, sto, C, D, 13
13, add, A, B, 11
14, sub, D, D, 9
15, add, C, B, 12
Job 31, 20, 10
0, add, A, B, 9
1, add, B, D, 5
2, mul, B, A, 9
3, sto, B, B, 5
4, add, D, A, 9
5, sub, D, C, 14
6, rcl, D, D, 12
7, rcl, D, B, 9
8, mul, C, C, 14
9, add, A, B, 12
10, mul, A, A, 7
11, add, C, B, 13
12, mul, A, D, 13
13, sto, C, A, 13
14, sub, C, C, 5
15, sto, B, D, 7
16, nul, A, A, 9
17, add, C, C, 6
18, rcl, C, A, 13
19, div, D, D, 9
Job 32, 26, 10
0, sub, C, D, 6
1, div, B, D, 11
2, add, B, C, 10
3, mul, C, D, 14
4, add, D, D, 14
5, mul, B, B, 5
6, sub, D, D, 7
7, div, B, B, 12
8, sto, A, C, 7
9, add, A, D, 6
10, rcl, D, C, 11
11, mul, B, D, 6
12, mul, A, D, 7
13, sub, D, C, 10
14, mul, C, B, 5
15, add, D, A, 7
16, mul, D, D, 13
17, add, C, A, 14
18, nul, A, A, 12
19, sub, B, D, 11
20, mul, D, B, 8
21, mul, D, A, 13
22, div, A, A, 9
23, nul, C, B, 8
24, add, D, A, 8
25, add, C, B, 12
Job 33, 17, 3
0, mul, D, A, 5
1, mul, A, B, 7
2, add, D, A, 6
3, mul, C, C, 5
4, mul, B, A, 12
5, add, A, B, 9
6, nul, B, A, 8
7, mul, C, B, 13
8, sub, A, D, 10
9, add, A, C, 10
10, mul, A, C, 13
11, mul, B, D, 13
12, sub, D, C, 8
13, mul, C, A, 7
14, nul, B, C, 6
15, sub, A, B, 7
16, sub, B, C, 5
Job 34, 26, 9
0, add, A, C, 12
1, add, B, A, 14
2, add, D, D, 7
3, mul, A, B, 12
4, mul, A, A, 11
5, sto, B, B, 12
6, mul, D, D, 11
7, mul, B, D, 13
8, sub, A, C, 9
9, sto, D, C, 8
10, mul, C, A, 10
11, div, C, B, 7
12, rcl, B, D, 14
13, sub, D, D, 13
14, sto, B, B, 6
15, mul, B, A, 5
16, nul, B, C, 5
17, sub, C, C, 13
18, mul, A, A, 12
19, mul, B, A, 9
20, add, D, D, 8
21, sto, C, D, 14
22, sub, B, C, 11
23, add, A, A, 7
24, sub, C, A, 7
25, rcl, A, D, 9
Job 35, 20, 7
0, nul, D, B, 14
1, sub, A, B, 6
2, add, A, D, 9
3, add, A, D, 13
4, rcl, B, D, 9
5, mul, A, D, 12
6, mul, C, C, 8
7, sub, D, A, 9
8, mul, B, A, 9
9, mul, D, A, 13
10, sub, C, C, 6
11, sto, A, C, 10
12, div, D, B, 5
13, mul, A, A, 9
14, nul, B, B, 9
15, mul, A, B, 10
16, nul, B, D, 13
17, sto, C, D, 11
18, sto, A, D, 5
19, mul, B, D, 9
Job 36, 20, 10
0, div, D, A, 11
1, div, A, C, 7
2, rcl, C, A, 8
3, add, A, D, 6
4, nul, B, D, 10
5, nul, A, A, 12
6, div, C, D, 10
7, div, C, A, 6
8, sto, A, D, 9
9, sto, C, A, 13
10, add, A, D, 14
11, add, C, A, 12
12, add, D, A, 10
13, mul, A, A, 13
14, sto, C, B, 14
15, rcl, A, B, 6
16, add, A, D, 13
17, add, A, B, 10
18, add, A, C, 6
19, add, C, C, 10
Job 37, 14, 8
0, mul, C, A, 7
1, sub, D, D, 6
2, add, D, D, 8
3, mul, B, C, 9
4, mul, A, B, 12
5, sub, A, D, 11
6, mul, A, B, 8
7, rcl, D, B, 13
8, mul, B, D, 11
9, mul, A, A, 14
10, mul, A, B, 13
11, add, C, A, 11
12, nul, D, B, 13
13, mul, B, A, 6
Job 38, 22, 3
0, add, B, C, 8
1, nul, A, C, 9
2, rcl, C, C, 9
3, mul, D, B, 8
4, add, B, C, 5
5, add, B, D, 11
6, div, B, B, 12
7, sto, C, B, 10
8, mul, D, C, 10
9, add, B, A, 12
10, add, A, A, 12
11, rcl, C, B, 11
12, sub, D, C, 11
13, div, B, B, 14
14, mul, B, A, 13
15, add, B, C, 6
16, sub, D, A, 14
17, sub, C, A, 13
18, add, D, B, 7
19, nul, D, B, 9
20, add, D, A, 14
21, add, B, C, 9
Job 39, 22, 7
0, rcl, C, C, 7
1, nul, D, D, 13
2, mul, D, D, 10
3, add, D, C, 6
4, mul, D, A, 12
5, rcl, C, D, 11
6, sub, D, D, 9
7, sub, B, A, 7
8, rcl, B, A, 8
9, add, C, A, 10
10, sub, B, C, 11
11, rcl, B, B, 10
12, rcl, A, B, 7
13, sto, A, C, 5
14, sub, B, D, 7
15, sto, D, B, 5
16, nul, D, C, 8
17, rcl, B, D, 14
18, sto, A, B, 13
19, add, B, D, 7
20, nul, B, C, 13
21, add, C, D, 7
Job 40, 10, 2
0, div, B, B, 8
1, sto, D, A, 12
2, nul, A, A, 10
3, nul, D, A, 13
4, sub, C, A, 11
5, mul, B, A, 11
6, add, A, A, 6
7, sub, B, C, 14
8, rcl, C, A, 11
9, sto, D, A, 14
Job 41, 25, 5
0, mul, C, B, 7
1, nul, B, D, 14
2, rcl, A, A, 12
3, add, C, D, 12
4, sub, D, D, 5
5, mul, C, D, 7
6, add, D, D, 6
7, sto, C, C, 9
8, mul, B, D, 12
9, mul, B, A, 8
10, add, A, D, 11
11, sto, B, C, 14
12, mul, B, C, 12
13, add, A, A, 10
14, sto, D, B, 11
15, add, B, C, 13
16, add, D, C, 7
17, mul, A, C, 11
18, div, B, B, 5
19, nul, B, C, 9
20, mul, B, C, 10
21, rcl, C, D, 7
22, mul, D, B, 6
23, mul, B, D, 10
24, add, D, B, 6
Job 42, 14, 6
0, add, D, B, 14
1, add, C, D, 10
2, sub, B, A, 14
3, sub, A, A, 10
4, add, D, A, 12
5, add, B, A, 9
6, mul, D, A, 6
7, add, C, B, 14
8, mul, C, D, 13
9, add, D, B, 12
10, mul, B, A, 10
11, div, C, D, 10
12, add, C, C, 6
13, add, A, C, 14
Job 43, 27, 3
0, div, B, D, 6
1, add, C, C, 5
2, add, D, B, 6
3, mul, B, A, 7
4, sto, A, D, 14
5, nul, D, D, 7
6, add, C, D, 10
7, add, D, D, 12
8, add, B, B, 13
9, sub, A, C, 6
10, nul, B, A, 8
11, add, A, D, 7
12, sto, D, A, 13
13, sub, B, A, 8
14, mul, A, C, 9
15, add, C, B, 5
16, rcl, C, A, 14
17, sub, C, D, 13
18, mul, A, B, 11
19, add, C, C, 14
20, add, D, D, 5
21, add, C, D, 5
22, sub, A, A, 12
23, add, B, C, 9
24, add, C, A, 6
25, add, C, B, 5
26, nul, C, B, 7
Job 44, 20, 9
0, sub, A, D, 12
1, sub, B, C, 11
2, rcl, D, D, 13
3, nul, A, B, 9
4, mul, D, A, 13
5, mul, A, B, 5
6, sub, B, A, 7
7, mul, D, D, 11
8, mul, B, B, 8
9, mul, B, C, 9
10, mul, B, B, 6
11, div, D, D, 7
12, add, D, C, 6
13, add, B, C, 12
14, add, D, C, 6
15, sub, A, C, 8
16, mul, C, A, 14
17, div, B, B, 13
18, nul, A, B, 11
19, mul, A, C, 10
Job 45, 23, 7
0, add, A, A, 5
1, add, B, B, 6
2, add, D, D, 12
3, sto, C, D, 13
4, add, A, D, 13
5, rcl, C, A, 9
6, nul, B, D, 13
7, sto, A, C, 11
8, add, A, B, 13
9, add, C, D, 12
10, add, D, C, 7
11, mul, C, D, 11
12, sto, B, D, 6
13, sub, B, D, 7
14, sub, A, D, 12
15, mul, D, B, 10
16, sub, B, C, 6
17, mul, B, B, 10
18, nul, D, D, 10
19, sub, C, D, 12
20, sub, A, D, 14
21, add, D, D, 10
22, add, C, A, 12
Job 46, 22, 7
0, add, D, C, 6
1, sto, D, A, 10
2, add, B, D, 13
3, add, C, B, 7
4, sub, C, D, 12
5, add, D, B, 11
6, mul, A, D, 6
7, sto, D, A, 7
8, add, B, A, 8
9, mul, A, D, 10
10, add, B, A, 9
11, nul, A, D, 13
12, sub, A, D, 9
13, add, D, D, 6
14, rcl, C, D, 9
15, nul, B, C, 5
16, mul, B, B, 8
17, add, C, C, 8
18, nul, D, C, 6
19, mul, D, D, 10
20, rcl, B, D, 6
21, sto, A, B, 7
Job 47, 19, 9
0, mul, B, B, 14
1, sto, C, C, 14
2, nul, B, C, 6
3, add, B, B, 11
4, rcl, B, B, 8
5, nul, B, A, 11
6, rcl, B, D, 13
7, add, C, A, 11
8, nul, D, D, 12
9, add, D, C, 8
10, div, D, D, 14
11, add, D, C, 14
12, rcl, A, D, 14
13, mul, B, B, 11
14, nul, C, A, 5
15, add, A, B, 8
16, sub, C, D, 7
17, sub, D, A, 9
18, mul, B, A, 5
Job 48, 16, 4
0, nul, A, C, 11
1, div, D, D, 9
2, sub, B, C, 12
3, mul, C, B, 10
4, rcl, C, A, 13
5, rcl, A, C, 10
6, sto, A, C, 9
7, mul, A, C, 14
8, sub, D, B, 14
9, rcl, A, C, 5
10, mul, A, A, 11
11, sto, D, B, 8
12, mul, D, C, 9
13, add, D, A, 8
14, mul, D, D, 11
15, sto, D, C, 10
Job 49, 23, 7
0, nul, D, C, 12
1, sub, A, A, 14
2, mul, D, A, 10
3, mul, C, C, 6
4, mul, C, A, 8
5, div, B, B, 5
6, mul, B, B, 7
7, add, D, C, 12
8, nul, A, C, 7
9, mul, C, A, 7
10, mul, C, A, 9
11, add, A, D, 12
12, sto, B, C, 10
13, sub, B, B, 6
14, rcl, D, D, 7
15, nul, B, A, 7
16, rcl, C, D, 5
17, rcl, D, C, 9
18, add, B, C, 12
19, mul, A, D, 11
20, div, B, A, 5
21, add, A, D, 13
22, add, C, A, 7
Job 50, 29, 1
0, div, C, C, 8
1, mul, B, C, 14
2, sub, C, B, 10
3, nul, A, C, 6
4, mul, A, A, 12
5, sto, A, A, 12
6, mul, D, C, 14
7, add, A, A, 10
8, mul, D, D, 10
9, add, A, D, 5
10, sub, A, B, 13
11, nul, B, D, 9
12, add, B, A, 11
13, nul, A, A, 13
14, rcl, B, C, 11
15, sto, D, B, 14
16, sub, B, A, 5
17, sub, B, B, 5
18, rcl, A, D, 7
19, rcl, A, C, 7
20, div, C, A, 8
21, mul, C, C, 7
22, add, B, A, 8
23, mul, B, B, 13
24, mul, D, B, 11
25, sub, C, A, 9
26, add, C, D, 10
27, mul, D, B, 7
28, mul, D, D, 11
Job 51, 17, 6
0, nul, A, A, 14
1, add, A, A, 8
2, sub, D, A, 7
3, mul, B, B, 14
4, add, D, C, 8
5, add, B, C, 14
6, rcl, C, B, 5
7, sto, D, A, 6
8, mul, D, D, 7
9, add, C, D, 8
10, mul, B, A, 7
11, add, C, B, 11
12, sub, A, B, 14
13, sto, B, A, 13
14, mul, C, C, 11
15, nul, C, D, 11
16, add, D, A, 14
Job 52, 24, 3
0, rcl, B, D, 5
1, nul, A, B, 10
2, sub, B, A, 11
3, rcl, C, B, 6
4, add, A, B, 5
5, div, D, B, 7
6, rcl, C, D, 14
7, sto, D, C, 7
8, mul, C, A, 6
9, sto, D, C, 11
10, add, B, B, 10
11, mul, A, B, 10
12, nul, D, D, 6
13, add, D, D, 8
14, sto, C, C, 13
15, rcl, D, A, 6
16, add, B, B, 13
17, add, C, A, 7
18, mul, C, B, 5
19, mul, A, D, 11
20, add, A, B, 10
21, add, C, D, 7
22, sub, C, D, 8
23, add, B, B, 12
Job 53, 17, 1
0, mul, C, D, 6
1, nul, A, A, 12
2, sto, C, A, 11
3, add, B, C, 8
4, div, A, A, 12
5, sub, A, C, 14
6, add, D, A, 9
7, add, C, A, 11
8, add, A, D, 13
9, mul, A, C, 8
10, add, C, A, 13
11, rcl, D, D, 9
12, mul, D, A, 8
13, add, C, D, 13
14, rcl, B, C, 11
15, nul, C, B, 9
16, mul, C, B, 8
Job 54, 14, 9
0, mul, B, A, 14
1, add, C, D, 9
2, add, C, A, 13
3, add, D, A, 12
4, mul, B, C, 14
5, rcl, B, D, 12
6, rcl, D, A, 10
7, sto, D, C, 12
8, add, D, D, 9
9, nul, B, C, 9
10, mul, C, A, 7
11, nul, C, D, 11
12, sub, C, A, 8
13, sto, C, A, 12
Job 55, 29, 7
0, div, B, D, 7
1, sto, C, C, 7
2, add, C, A, 11
3, rcl, A, A, 9
4, rcl, C, C, 8
5, add, C, C, 10
6, add, C, B, 12
7, sub, D, B, 12
8, sub, D, C, 14
9, sto, A, C, 5
10, div, A, A, 6
11, sub, A, B, 10
12, mul, C, D, 14
13, sub, D, D, 6
14, nul, D, A, 8
15, rcl, C, A, 13
16, add, C, D, 5
17, mul, C, C, 7
18, mul, D, B, 6
19, sub, B, A, 12
20, mul, A, C, 12
21, add, D, D, 7
22, add, B, B, 9
23, nul, C, B, 8
24, mul, A, D, 5
25, nul, C, B, 11
26, sub, B, D, 7
27, mul, C, A, 9
28, mul, A, A, 13
Job 56, 24, 4
0, sub, D, A, 8
1, mul, B, C, 6
2, add, D, D, 13
3, mul, B, A, 9
4, mul, A, C, 6
5, add, B, D, 6
6, add, C, A, 14
7, nul, B, D, 12
8, mul, D, A, 8
9, mul, D, B, 14
10, sto, D, C, 8
11, nul, C, A, 5
12, sto, C, B, 13
13, mul, A, B, 9
14, sub, C, A, 5
15, add, A, A, 5
16, sto, C, B, 11
17, add, B, B, 5
18, add, A, A, 13
19, div, B, A, 12
20, mul, A, C, 5
21, sub, D, C, 9
22, sub, D, D, 12
23, mul, C, C, 9
Job 57, 25, 7
0, rcl, D, C, 5
1, mul, A, C, 13
2, sub, C, D, 14
3, mul, B, A, 7
4, mul, A, B, 12
5, mul, B, B, 13
6, sub, C, D, 11
7, mul, A, C, 8
8, sub, C, A, 14
9, add, B, C, 11
10, add, D, A, 10
11, sub, C, B, 14
12, mul, D, A, 7
13, sub, C, C, 10
14, mul, A, C, 7
15, nul, C, A, 11
16, mul, D, C, 12
17, add, B, A, 5
18, add, A, A, 5
19, add, D, B, 5
